THUM_GEOGRAFI,SUG_DEREH,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH
1,2,7,33,4,1,5,2,1,0,3,1,1,3,3,1,1,1
1,4,3,64,4,1,5,2,5,3,0,4,1,2,3,1,1,1
1,4,7,86,4,5,1,3,3,0,3,2,1,5,3,3,1,1
1,2,7,91,4,5,6,2,8,0,3,1,1,5,3,10,1,1
1,1,1,70,4,5,2,3,2,1,0,1,1,4,3,6,1,1
1,2,5,53,4,1,7,2,5,1,0,1,1,3,3,1,1,1
1,2,7,33,4,1,2,3,2,3,0,1,1,2,3,1,1,1
1,4,4,59,3,1,4,3,3,3,0,3,1,3,4,1,1,1
1,4,6,65,4,1,6,3,5,2,0,2,1,2,3,1,1,1
1,1,3,65,4,1,6,3,2,0,3,3,1,3,3,1,9,2
1,3,11,49,4,1,7,3,2,0,3,2,1,2,3,1,1,1
1,2,4,43,2,1,2,3,13,1,0,1,1,1,3,1,1,6
1,1,10,61,3,1,1,3,1,1,0,1,1,2,3,1,1,1
1,1,10,22,4,5,1,2,1,3,0,1,1,2,3,3,1,1
1,2,10,35,4,1,5,3,1,9,0,0,0,0,5,11,9,9
1,4,6,79,4,1,7,2,4,0,2,5,1,4,3,1,1,1
1,1,7,83,4,5,4,3,1,1,0,1,1,0,3,6,1,1
1,3,4,61,4,1,1,2,2,1,0,5,1,5,3,1,1,1
1,4,2,59,4,1,4,3,3,3,0,2,1,3,3,1,1,1
1,4,10,69,4,1,3,2,8,0,1,5,1,3,3,1,1,1
1,3,11,35,4,1,4,3,5,1,0,5,1,3,3,1,1,1
1,1,3,31,4,1,6,2,4,1,0,1,1,2,3,1,1,1
1,1,6,82,4,5,1,3,5,1,0,2,1,3,3,10,1,1
1,2,6,67,4,1,7,3,15,0,1,1,1,2,3,1,1,1
1,4,10,4,4,5,1,1,5,9,0,0,0,0,5,6,9,9
1,2,5,68,4,1,3,3,1,1,0,1,1,2,4,1,1,1
1,1,11,60,4,1,1,3,18,0,1,1,1,3,3,1,1,1
1,1,9,68,4,1,1,3,2,3,0,1,1,2,3,1,1,1
1,2,11,67,4,5,5,3,3,3,0,1,1,3,3,10,5,1
1,4,4,86,4,5,2,3,3,0,2,5,1,5,3,3,1,1
1,2,3,81,2,5,5,3,2,1,0,1,1,2,3,3,1,1
1,1,1,48,4,1,1,3,3,0,2,3,1,3,3,1,1,1
1,2,1,25,4,5,1,3,4,3,0,1,1,2,3,6,1,1
1,2,6,67,4,1,2,2,1,3,0,1,1,2,3,1,1,1
1,4,7,42,4,1,5,3,8,0,2,5,1,4,3,1,1,1
1,3,4,78,4,5,7,3,2,0,2,4,1,3,3,6,1,1
1,1,1,46,4,1,1,3,2,3,0,1,3,2,3,1,1,1
1,3,3,31,4,1,4,3,2,0,3,5,1,3,4,1,1,1
1,2,2,41,4,1,6,2,10,3,0,1,4,1,4,1,1,6
1,4,5,49,4,1,7,2,2,3,0,4,0,3,3,1,1,1
1,2,5,41,4,1,4,3,5,3,0,1,1,0,5,1,1,1
1,1,7,69,4,1,1,3,2,3,0,1,1,3,3,1,1,1
1,2,5,53,4,1,1,3,2,0,3,1,1,4,3,1,1,1
1,2,9,33,4,1,2,3,1,0,3,1,1,1,3,1,1,1
1,2,7,81,4,5,2,3,2,3,0,1,0,2,3,6,1,1
1,3,7,79,4,1,2,3,2,0,2,5,1,5,3,1,1,1
1,1,6,64,4,1,5,3,2,1,0,1,1,2,3,1,1,1
1,2,3,55,4,1,2,3,1,0,2,1,1,3,4,1,1,1
1,4,12,59,4,1,4,2,5,2,0,4,0,3,3,1,2,3
1,3,7,6,4,5,7,3,2,0,3,5,1,3,3,3,1,1
1,4,7,56,4,1,3,1,5,2,0,4,1,3,3,1,1,1
1,2,4,61,4,1,4,3,2,1,0,1,1,0,2,1,1,1
1,1,8,17,4,5,2,3,2,0,4,1,1,2,3,6,1,1
1,2,6,52,4,1,3,3,2,0,3,1,1,3,3,1,1,1
1,2,9,75,4,1,1,3,1,3,0,1,1,2,3,1,1,1
1,1,9,45,4,1,4,3,2,9,0,0,0,0,5,11,9,9
1,4,9,55,4,1,6,2,2,2,0,4,1,2,3,1,1,1
1,1,11,51,4,1,3,3,2,0,3,1,1,2,3,1,1,1
1,2,4,43,4,1,4,3,4,3,0,1,1,1,3,1,1,1
1,1,9,70,4,1,3,3,2,0,3,1,1,2,3,1,1,1
1,2,10,61,4,1,7,3,3,3,0,1,1,2,3,1,1,1
1,2,12,67,4,5,6,2,15,9,0,0,0,0,5,6,9,9
1,4,10,67,3,1,2,3,10,0,2,7,1,3,3,1,1,1
1,4,5,96,4,5,7,3,3,0,2,7,1,4,3,3,1,1
1,3,6,47,4,1,1,3,2,0,3,1,1,3,3,1,1,1
1,2,3,64,4,1,5,3,2,1,0,2,1,5,3,1,1,1
1,1,6,40,4,1,5,3,2,0,3,2,1,3,3,1,1,1
1,4,3,41,4,1,6,3,3,0,3,1,1,3,4,1,1,1
1,3,10,69,4,1,2,3,2,9,0,0,0,0,5,11,9,9
1,1,11,33,4,1,4,3,1,3,0,1,1,2,3,1,1,1
